doy,P_mm,PET_mm
1,0.0,1.716
2,0.0,1.712
3,0.0,1.709
4,0.0,1.706
5,0.0,1.704
6,2.8,1.702
7,0.0,1.701
8,0.0,1.7
9,0.0,1.7
10,0.0,1.7
11,0.0,1.701
12,0.0,1.703
13,7.92,1.705
14,0.0,1.707
15,0.0,1.71
16,0.0,1.714
17,0.0,1.718
18,0.0,1.723
19,0.0,1.728
20,0.0,1.734
21,0.0,1.74
22,0.0,1.747
23,10.78,1.754
24,0.0,1.762
25,0.0,1.77
26,0.0,1.779
27,11.76,1.788
28,0.0,1.798
29,0.0,1.808
30,0.0,1.819
31,3.96,1.83
32,0.0,1.842
33,0.0,1.855
34,0.0,1.867
35,0.0,1.881
36,0.0,1.894
37,0.0,1.909
38,0.0,1.923
39,0.0,1.939
40,0.0,1.954
41,0.0,1.97
42,0.0,1.987
43,0.0,2.004
44,0.0,2.021
45,0.0,2.039
46,0.0,2.058
47,0.0,2.076
48,0.0,2.095
49,0.0,2.115
50,0.0,2.135
51,5.35,2.155
52,0.0,2.176
53,0.0,2.197
54,2.22,2.219
55,8.32,2.241
56,16.37,2.263
57,10.42,2.286
58,0.0,2.309
59,0.0,2.332
60,0.0,2.356
61,0.0,2.38
62,18.49,2.405
63,4.09,2.429
64,0.0,2.455
65,11.62,2.48
66,0.0,2.506
67,0.0,2.532
68,13.99,2.558
69,17.55,2.584
70,0.0,2.611
71,0.0,2.638
72,0.0,2.666
73,0.0,2.693
74,0.0,2.721
75,0.0,2.749
76,0.0,2.777
77,0.0,2.806
78,0.0,2.834
79,0.0,2.863
80,15.37,2.892
81,0.0,2.922
82,0.0,2.951
83,0.0,2.981
84,10.01,3.01
85,5.95,3.04
86,7.04,3.07
87,5.89,3.101
88,0.0,3.131
89,0.0,3.161
90,8.44,3.192
91,0.0,3.222
92,0.0,3.253
93,0.0,3.284
94,0.0,3.314
95,0.0,3.345
96,15.61,3.376
97,0.0,3.407
98,15.33,3.438
99,29.86,3.469
100,0.0,3.5
101,0.0,3.531
102,10.93,3.562
103,0.0,3.593
104,2.22,3.624
105,0.0,3.655
106,8.41,3.686
107,13.83,3.716
108,0.0,3.747
109,0.0,3.778
110,3.85,3.808
111,0.0,3.839
112,0.0,3.869
113,10.34,3.899
114,1.7,3.93
115,0.0,3.96
116,3.87,3.99
117,0.0,4.019
118,8.01,4.049
119,0.0,4.078
120,10.51,4.108
121,0.0,4.137
122,0.0,4.166
123,0.0,4.194
124,0.0,4.223
125,0.0,4.251
126,9.5,4.279
127,15.01,4.307
128,22.05,4.334
129,0.0,4.362
130,17.26,4.389
131,13.26,4.416
132,26.35,4.442
133,13.67,4.468
134,0.0,4.494
135,4.19,4.52
136,28.58,4.545
137,10.96,4.571
138,1.78,4.595
139,0.0,4.62
140,0.0,4.644
141,6.47,4.668
142,0.0,4.691
143,0.0,4.714
144,19.04,4.737
145,5.34,4.759
146,14.62,4.781
147,4.94,4.803
148,10.76,4.824
149,0.0,4.845
150,6.74,4.865
151,23.38,4.885
152,21.48,4.905
153,0.0,4.924
154,14.23,4.942
155,9.65,4.961
156,0.0,4.979
157,4.75,4.996
158,6.89,5.013
159,9.51,5.03
160,0.0,5.046
161,32.02,5.061
162,0.0,5.077
163,5.51,5.091
164,12.63,5.106
165,11.22,5.119
166,11.8,5.133
167,0.0,5.145
168,6.99,5.158
169,2.86,5.17
170,0.0,5.181
171,0.0,5.192
172,0.0,5.202
173,15.28,5.212
174,12.09,5.221
175,15.52,5.23
176,0.0,5.238
177,0.0,5.246
178,13.12,5.253
179,0.0,5.26
180,2.29,5.266
181,2.16,5.272
182,5.88,5.277
183,14.88,5.282
184,3.73,5.286
185,0.0,5.29
186,11.66,5.293
187,13.16,5.295
188,12.52,5.297
189,0.0,5.299
190,10.96,5.3
191,9.7,5.3
192,12.85,5.3
193,0.0,5.299
194,2.01,5.298
195,0.0,5.296
196,2.64,5.294
197,1.81,5.291
198,9.49,5.288
199,0.0,5.284
200,15.22,5.28
201,32.03,5.275
202,20.89,5.269
203,11.43,5.263
204,0.0,5.257
205,0.0,5.25
206,0.0,5.242
207,0.0,5.234
208,0.0,5.226
209,0.0,5.217
210,0.0,5.207
211,0.0,5.197
212,30.07,5.186
213,0.0,5.175
214,12.56,5.164
215,0.0,5.152
216,0.0,5.139
217,0.0,5.126
218,0.0,5.113
219,7.94,5.099
220,12.78,5.084
221,9.68,5.069
222,15.78,5.054
223,9.2,5.038
224,33.36,5.021
225,6.93,5.005
226,0.0,4.987
227,0.0,4.97
228,0.0,4.952
229,0.0,4.933
230,12.56,4.914
231,0.0,4.895
232,0.0,4.875
233,0.0,4.855
234,0.0,4.834
235,18.24,4.813
236,16.13,4.792
237,0.0,4.77
238,12.74,4.748
239,9.23,4.725
240,0.0,4.703
241,10.63,4.679
242,0.0,4.656
243,13.15,4.632
244,10.62,4.608
245,0.0,4.583
246,12.51,4.558
247,0.0,4.533
248,0.0,4.507
249,0.0,4.481
250,0.0,4.455
251,12.51,4.429
252,0.0,4.402
253,13.47,4.375
254,4.76,4.348
255,0.0,4.321
256,0.0,4.293
257,0.0,4.265
258,0.0,4.237
259,0.0,4.208
260,17.37,4.18
261,0.0,4.151
262,14.89,4.122
263,0.0,4.093
264,4.27,4.064
265,0.0,4.034
266,0.0,4.004
267,0.0,3.975
268,6.31,3.945
269,15.07,3.915
270,9.39,3.884
271,0.0,3.854
272,0.0,3.824
273,0.0,3.793
274,15.75,3.762
275,0.0,3.732
276,0.0,3.701
277,12.09,3.67
278,7.76,3.639
279,0.0,3.608
280,0.0,3.577
281,0.0,3.546
282,0.0,3.515
283,0.0,3.485
284,0.0,3.454
285,0.0,3.423
286,8.56,3.392
287,0.0,3.361
288,0.0,3.33
289,13.84,3.299
290,0.0,3.268
291,7.79,3.238
292,0.0,3.207
293,26.53,3.176
294,0.0,3.146
295,8.99,3.116
296,0.0,3.085
297,6.39,3.055
298,0.0,3.025
299,0.0,2.996
300,0.0,2.966
301,13.25,2.936
302,0.0,2.907
303,0.0,2.878
304,0.0,2.849
305,0.0,2.82
306,0.0,2.792
307,0.0,2.763
308,28.34,2.735
309,0.0,2.707
310,15.72,2.679
311,8.78,2.652
312,0.0,2.625
313,0.0,2.598
314,0.0,2.571
315,5.31,2.545
316,0.0,2.519
317,10.12,2.493
318,4.47,2.467
319,0.0,2.442
320,13.21,2.417
321,0.0,2.392
322,0.0,2.368
323,0.0,2.344
324,4.16,2.321
325,0.0,2.297
326,0.0,2.275
327,6.75,2.252
328,0.0,2.23
